HOUR,TOTALLOAD,WIND,SOLAR
159,23.32271285,0.839111827,0.178651185
160,23.5759235,0.844375157,0.251402152
161,23.85101984,0.849999998,0.264435304
162,24.14125169,0.849999998,0.273144414
163,24.47877917,0.849999998,0.225622509
164,24.86618203,0.849999998,0.158482589
165,25.28280296,0.849947696,0.072552057
166,25.73670497,0.839751357,0.011060865
167,26.07407987,0.832581169,0
168,26.27801398,0.830293379,0
169,26.42717213,0.82738321,0
170,26.47719647,0.825767053,0
171,26.51264352,0.824968373,0
172,26.53822404,0.824571102,0
173,26.47172634,0.826556902,0
174,26.32907249,0.830846825,0
175,26.22928179,0.828473409,0
176,26.17082291,0.819005776,0
177,26.10555696,0.806745802,0
178,26.06180093,0.789369428,0
179,25.94627964,0.772568605,0
180,25.75195751,0.756791595,0
181,25.5476718,0.737251699,0.112090743
182,25.31161235,0.715202901,0.163541669
183,25.10727471,0.699929429,0.292424513
184,24.94775695,0.691778935,0.376863885
185,24.78686478,0.687253368,0.413308403
186,24.6441358,0.688855041,0.413868252
187,24.49818509,0.690078344,0.351906741
188,24.34558853,0.690714762,0.247483527
189,24.21457875,0.696231836,0.110420138
190,24.10100413,0.705362176,0.021698019
191,23.93250224,0.713279654,0
192,23.7070253,0.720290014,0
193,23.45698627,0.727932691,0
194,23.16404787,0.735127352,0
195,22.87773924,0.746275207,0
196,22.60170541,0.761659369,0
197,22.29605756,0.778264249,0
198,21.97182981,0.797126797,0
199,21.71494537,0.811161563,0
200,21.52951102,0.819397079,0
201,21.38302721,0.825956867,0
202,21.29912019,0.82876987,0
203,21.2189106,0.831258954,0
204,21.14087786,0.833708179,0
205,21.11568388,0.832553823,0.009042659
206,21.13223341,0.828456727,0.036895534
207,21.14387567,0.827603106,0.101528588
208,21.15363348,0.83001922,0.176058239
209,21.17749029,0.833119797,0.240047884
210,21.20520842,0.838420796,0.23709524
211,21.27925731,0.841328428,0.227672065
212,21.40279566,0.84150988,0.160810943
213,21.5471098,0.842482626,0.085541771
214,21.72249744,0.843199006,0.021702354
215,21.82279306,0.844029472,0
216,21.83502638,0.845386811,0
217,21.8171189,0.846335067,0
218,21.73830447,0.847069133,0
219,21.65382107,0.848190473,0
220,21.56747147,0.849628383,0
221,21.42406834,0.849999998,0
222,21.23419202,0.849999998,0
223,21.08539346,0.849999998,0
224,20.97740062,0.849999998,0
225,20.87431726,0.849999998,0
226,20.79735872,0.849871858,0
227,20.67989089,0.847617962,0
228,20.51706498,0.845367243,0
229,20.35912353,0.842320957,0.134479727
230,20.190742,0.838671075,0.175714076
231,20.06423718,0.8329902,0.321941614
232,19.99013584,0.825020475,0.423039007
233,19.93266106,0.815551289,0.45251986
234,19.90811629,0.804124939,0.432045295
235,19.89795153,0.791355569,0.385212952
236,19.89999617,0.777255101,0.300553091
237,19.93845257,0.761077287,0.188655857
238,20.01011626,0.742903471,0.031471977
239,20.05839104,0.724082405,0
240,20.08231837,0.704590364,0
241,20.10769034,0.683787132,0
242,20.12057912,0.661975665,0
243,20.16099944,0.638104917,0
244,20.23232325,0.612058666,0
245,20.30341009,0.584579259,0
246,20.38357065,0.555395691,0
247,20.40913429,0.532376787,0
248,20.37027038,0.51638099,0
249,20.30361198,0.503503927,0
250,20.18987676,0.496029906,0
251,20.05858148,0.489574722,0
252,19.91159897,0.483933309,0
253,19.71645492,0.483371505,0.094156199
254,19.47827424,0.48708572,0.180867096
255,19.2553471,0.489066888,0.329154622
256,19.04756576,0.489426312,0.449413946
257,18.82931893,0.49061705,0.552666674
258,18.6145088,0.491231156,0.5916377
259,18.35927667,0.496049604,0.544520879
260,18.05984203,0.505455289,0.424368459
261,17.74893892,0.515973536,0.218451297
262,17.41610736,0.528742495,0.023806059
263,17.17234194,0.537104359,0
264,17.03211753,0.540065103,0
265,16.93551879,0.541617936,0
266,16.91531298,0.539790233,0
267,16.91478088,0.537672908,0
268,16.93061803,0.535534372,0
269,17.02098683,0.530055771,0
270,17.17557358,0.521825562,0
271,17.30114191,0.517023476,0
272,17.39838887,0.515701845,0
273,17.5066829,0.515227357,0
274,17.60382461,0.517120745,0
275,17.76145579,0.516853667,0
276,17.98537378,0.514090482,0
277,18.22244041,0.512321646,0.011719452
278,18.48958372,0.510513697,0.01970917
279,18.69902955,0.512266436,0.040553695
280,18.83674672,0.518325432,0.059976465
281,18.95668386,0.526257196,0.071683889
282,19.0325289,0.53719952,0.067487811
283,19.10324518,0.549899637,0.06536832
284,19.17233645,0.564228648,0.051777402
285,19.19654447,0.58186699,0.027154903
286,19.18314293,0.602614759,0.029557617
287,19.21653676,0.622561825,0
288,19.29757936,0.641657528,0
289,19.38969395,0.661713405,0
290,19.51363237,0.681780118,0
291,19.60797396,0.704649963,0
292,19.66800291,0.730575149,0
293,19.74111134,0.757413057,0
294,19.81319943,0.785827214,0
295,19.94143377,0.808260728,0
296,20.13674473,0.82372428,0
297,20.3621096,0.836252785,0
298,20.63535163,0.843606356,0
299,20.93458316,0.84965716,0
300,21.25782564,0.849999998,0
301,21.63247476,0.849999998,0.128924978
302,22.05489718,0.849989889,0.295096757
303,22.46573509,0.847428822,0.494077567
304,22.8644064,0.846748296,0.629638684
305,23.27798929,0.845261465,0.709238101
306,23.69210799,0.844464234,0.722385748
307,24.1496698,0.839466581,0.660299466
308,24.65446731,0.829861189,0.530798482
309,25.17374828,0.81925039,0.326769159
310,25.71768884,0.806468682,0.056784909
311,26.12200628,0.79426083,0
312,26.36657425,0.7832372,0
313,26.53589111,0.771215712,0
314,26.5815238,0.759036813,0
315,26.59053874,0.745875063,0
316,26.56707071,0.73154032,0
317,26.42330731,0.717184307,0
318,26.17478278,0.70262406,0
319,25.9530109,0.684408082,0
320,25.75592643,0.662391338,0
321,25.52821437,0.638104632,0
322,25.30063834,0.61064544,0
323,24.96976021,0.582280889,0
324,24.52685456,0.553152676,0
325,24.04719103,0.521359969,0.059606523
326,23.50591722,0.487382874,0.156905383
327,23.10217568,0.462792334,0.304226234
328,22.86301981,0.44852607,0.461906714
329,22.67597249,0.43948279,0.559392471
330,22.59964891,0.438942684,0.564793146
331,22.5352988,0.439779642,0.517072413
332,22.47585597,0.441741984,0.394512531
333,22.52356898,0.451359323,0.220537227
334,22.65990596,0.467310557,0.110096981
335,22.71075293,0.481954034,0
336,22.67599851,0.495571237,0
337,22.62893044,0.511097392,0
338,22.52729639,0.526789112,0
339,22.5018746,0.549069592,0
340,22.5625977,0.578442642,0
341,22.61043522,0.610383057,0
342,22.67562917,0.646435414,0
343,22.70030257,0.673549718,0
344,22.66840161,0.690016427,0
345,22.62941008,0.70315495,0
346,22.56440843,0.70915113,0
347,22.4843361,0.714569656,0
348,22.39268204,0.71988708,0
349,22.26671003,0.718394608,0.092475716
350,22.10827045,0.711340977,0.205827334
351,21.99728347,0.709912615,0.409275168
352,21.93680835,0.714111678,0.537965851
353,21.88905971,0.719280463,0.606739256
354,21.87441457,0.728138646,0.602715273
355,21.84034214,0.73226588,0.5438364
356,21.78259009,0.731039085,0.423361318
357,21.74421049,0.730841197,0.241263523
358,21.71339962,0.729735072,0.106832506
359,21.66984832,0.731138917,0
360,21.61662474,0.736063009,0
361,21.5550135,0.741480814,0
362,21.48065222,0.748527505,0
363,21.41549971,0.756693554,0
364,21.35983,0.765770756,0
365,21.29915947,0.777055369,0
366,21.23811751,0.79047125,0
367,21.17444244,0.80112526,0
368,21.1064883,0.808824642,0
369,21.03860805,0.815912734,0
370,20.969889,0.821143623,0
371,20.89772442,0.827713247,0
372,20.82247177,0.835888974,0
373,20.74461249,0.843049497,0.083441152
374,20.66362621,0.849917393,0.171556579
375,20.61772192,0.849999998,0.301810307
376,20.61068736,0.849999998,0.412617673
377,20.6242047,0.849999998,0.458490312
378,20.6692514,0.849999998,0.398533174
379,20.72415396,0.849999998,0.300051065
380,20.78797408,0.845243434,0.202575803
381,20.88149374,0.837647382,0.104113628
382,21.00073734,0.827634713,0.100899148
383,21.11906599,0.817758327,0
384,21.23726139,0.808046454,0
385,21.36598437,0.797249325,0
386,21.49911676,0.785973904,0
387,21.6584516,0.772398582,0
388,21.84577154,0.756332475,0
389,22.04555772,0.739148834,0
390,22.26306612,0.720396672,0
391,22.39114144,0.702928564,0
392,22.41747698,0.687157657,0
393,22.39630404,0.671393604,0
394,22.29634528,0.65647812,0
395,22.17582926,0.641036971,0
396,22.03756957,0.624953226,0
397,21.82400421,0.609668749,0.166628121
398,21.54572097,0.594918186,0.348972049
399,21.28593434,0.578016424,0.550354098
400,21.043218,0.558935146,0.628457597
401,20.78319287,0.538807428,0.632391932
402,20.52535505,0.516967735,0.611176381
403,20.20387764,0.495378632,0.537798165
404,19.8133872,0.474179343,0.391281116
405,19.4017862,0.451847557,0.194831094
406,18.95335754,0.428826333,0.079798519
407,18.56964767,0.414002032,0
408,18.26534571,0.40812107,0
409,17.98079054,0.407347373,0
410,17.74600354,0.414226891,0
411,17.51271462,0.423315476,0
412,17.27700415,0.434462206,0
413,17.09003043,0.452715301,0
414,16.94265361,0.477097053,0
415,16.74248545,0.501804242,0
416,16.48898517,0.527092188,0
417,16.22136484,0.555239185,0
418,15.9169951,0.584951213,0
419,15.64414293,0.621183809,0
420,15.40791221,0.664360373,0
421,15.15599871,0.711056908,0.010434752
422,14.9040536,0.762494126,0.025308003
423,14.7162791,0.80139718,0.047870914
424,14.59376116,0.825742394,0.08305914
425,14.51794612,0.844594219,0.121783107
426,14.50628738,0.849999998,0.126238508
427,14.51009466,0.849999998,0.087418145
428,14.52915171,0.849999998,0.045613884
429,14.60371367,0.849999998,0.018426129
430,14.72493449,0.849999998,0.004819046
431,14.86685344,0.845451342,0
432,15.03304425,0.8451754,0
433,15.23116681,0.844821737,0
434,15.45635276,0.847701008,0
435,15.73661725,0.843083063,0
436,16.07438211,0.830152098,0
437,16.45274569,0.81687713,0
438,16.87899045,0.800753101,0
439,17.22182887,0.79068849,0
440,17.46726727,0.788371201,0
441,17.68305213,0.787747709,0
442,17.83165358,0.791543275,0
443,17.98590516,0.796399853,0
444,18.15027436,0.801904304,0
445,18.2548263,0.812198834,0.058773447
446,18.31363101,0.826656821,0.18611981
447,18.42850692,0.835778041,0.309286882
448,18.59853126,0.8393711,0.410429416
449,18.7831715,0.841666353,0.475035697
450,19.00696053,0.840294206,0.474430432
451,19.19077852,0.841931508,0.417438862
452,19.3290521,0.847092866,0.293709828
453,19.4808696,0.849999998,0.163121954
454,19.62805117,0.849999998,0.125837167
455,19.75953444,0.849999998,0
456,19.88014399,0.849999998,0
457,19.98157753,0.849999998,0
458,20.06179025,0.849162127,0
459,20.1405016,0.844399759,0
460,20.21646629,0.838071138,0
461,20.27787191,0.829764209,0
462,20.32823424,0.819364057,0
463,20.35332706,0.810009116,0
464,20.35031775,0.801845484,0
465,20.32797298,0.793234738,0
466,20.2817475,0.784967344,0
467,20.21552583,0.775070766,0
468,20.12944631,0.763339555,0
469,20.01721266,0.751394173,0.100472915
470,19.87913715,0.738766843,0.214055515
471,19.81537117,0.724940866,0.377435335
472,19.83464031,0.710041737,0.503404989
473,19.88963152,0.693966759,0.57964069
474,20.00858171,0.676610363,0.558270644
475,20.13167712,0.658616601,0.456380108
476,20.25598438,0.6399685,0.326537391
477,20.43664213,0.620253694,0.179465463
478,20.66215992,0.59959601,0.077596102
479,20.86244353,0.577640287,0
480,21.03906911,0.554304044,0
481,21.2188916,0.529833394,0
482,21.38536766,0.504112617,0
483,21.59523682,0.477213982,0
484,21.85251579,0.44914423,0
485,22.11588776,0.419756786,0
486,22.39855858,0.389055373,0
487,22.60078927,0.361819153,0
488,22.70843096,0.338501338,0
489,22.77810791,0.316853063,0
490,22.78018615,0.298243181,0
491,22.76268282,0.279879448,0
492,22.72888477,0.261644668,0
493,22.62786822,0.246173563,0.152617204
494,22.46838306,0.232949575,0.261803257
495,22.33757373,0.218594697,0.290120353
496,22.23525559,0.203200885,0.318230754
497,22.12413762,0.188106096,0.315058753
498,22.02514313,0.172528406,0.27558035
499,21.87250933,0.159226142,0.240490966
500,21.66092302,0.148417109,0.234933013
501,21.439707,0.138125591,0.088656603
502,21.19340837,0.12901084,0.052434228
503,20.99624024,0.122781831,0
504,20.86063044,0.11944583,0
505,20.7402054,0.118718998,0
506,20.65740324,0.121086357,0
507,20.58038201,0.125167883,0
508,20.50621433,0.131018803,0
509,20.47117706,0.139798642,0
510,20.46942764,0.15129314,0
511,20.42792091,0.16507572,0
512,20.34585556,0.181308334,0
513,20.25525803,0.200119197,0
514,20.13819273,0.221484263,0
515,20.04759505,0.246086166,0
516,19.98763855,0.274024903,0
517,19.91747892,0.305002253,0.038356313
518,19.84932813,0.339235086,0.156820985
519,19.80778289,0.366997799,0.291919626
520,19.79106539,0.387333888,0.413155869
521,19.79664764,0.405013187,0.500525132
522,19.83072242,0.417260792,0.521917586
523,19.86999454,0.42968079,0.44685626
524,19.91480665,0.442562463,0.340692714
525,19.98242045,0.450613638,0.201954479
526,20.0685532,0.454900191,0.136873851
527,20.17164007,0.462634968,3.02E-11
528,20.29393916,0.473695907,0
529,20.43378659,0.48523798,0
530,20.59166263,0.498972662,0
531,20.77414737,0.50916338,0
532,20.98182878,0.515391455,0
533,21.21236725,0.521867227,0
534,21.46772667,0.527253557,0
535,21.63514414,0.530357835,0
536,21.70350311,0.531457422,0
537,21.72752961,0.530098127,0
538,21.67495032,0.52599507,0
539,21.61059361,0.520750371,0
540,21.53757799,0.514251713,1.16E-09
541,21.39441299,0.50541352,0.118931471
542,21.19326293,0.494496663,0.286736683
543,21.01638196,0.480739053,0.497884395
544,20.86205522,0.463901105,0.621121783
545,20.69765536,0.444463042,0.694935667
546,20.54249716,0.422135704,0.702118079
547,20.33055085,0.396934973,0.642962156
548,20.05679721,0.368821362,0.522477191
549,19.76921879,0.337480422,0.337479263
550,19.45224346,0.302848423,0.188197643
551,19.1777313,0.280539497,1.18E-09
552,18.95743719,0.272034391,0
553,18.74581821,0.269910845,0
554,18.56434812,0.278629901,0
555,18.38207483,0.289064181,0
556,18.19581479,0.300802894,0
557,18.04032029,0.322432984,0
558,17.90965121,0.352246861,0
559,17.7334075,0.379053081,0
560,17.51056466,0.40311756,0
561,17.27153967,0.428853173,0
562,16.99884203,0.45364542,0
563,16.74301316,0.486557878,0
564,16.50777196,0.528283423,9.18E-10
565,16.25363292,0.572274102,0.025049521
566,15.99203696,0.620675293,0.06967207
567,15.7799518,0.659384485,0.15077303
568,15.61885242,0.686367296,0.250171471
569,15.49030731,0.709871413,0.309365992
570,15.40977966,0.725725119,0.238158847
571,15.33537933,0.740625194,0.170657243
572,15.26650716,0.755103516,0.125728289
573,15.2380606,0.762051517,0.07105694
574,15.24224125,0.762728973,0.024003371
575,15.25314156,0.769835467,1.76E-09
576,15.27341652,0.783425516,0
577,15.31107182,0.798100963,0
578,15.36081382,0.816960435,0
579,15.44854667,0.830583785,0
580,15.57628719,0.838255686,0
581,15.72751242,0.847164262,0
582,15.9087006,0.849999998,0
583,16.06645761,0.849999998,0
584,16.19443648,0.849999998,0
